"filename", "language", "JSON", "UnityShader", "Markdown", "XML", "C#", "comment", "blank", "total"
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\R3.1.3.0\lib\netstandard2.1\R3.xml", "XML", 0, 0, 0, -444, 0, 0, -3, -447
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.ComponentModel.Annotations.5.0.0\System.ComponentModel.Annotations.nuspec", "XML", 0, 0, 0, -68, 0, 0, -2, -70
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.ComponentModel.Annotations.5.0.0\lib\netstandard2.1\System.ComponentModel.Annotations.xml", "XML", 0, 0, 0, -1201, 0, 0, -9, -1210
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Runtime.CompilerServices.Unsafe.6.0.0\System.Runtime.CompilerServices.Unsafe.nuspec", "XML", 0, 0, 0, -28, 0, 0, -1, -29
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Runtime.CompilerServices.Unsafe.6.0.0\buildTransitive\netcoreapp2.0\System.Runtime.CompilerServices.Unsafe.targets", "XML", 0, 0, 0, -6, 0, 0, -1, -7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Runtime.CompilerServices.Unsafe.6.0.0\lib\netstandard2.0\System.Runtime.CompilerServices.Unsafe.xml", "XML", 0, 0, 0, -289, 0, 0, -2, -291
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Threading.Channels.8.0.0\PACKAGE.md", "Markdown", 0, 0, -48, 0, 0, 0, -25, -73
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Threading.Channels.8.0.0\System.Threading.Channels.nuspec", "XML", 0, 0, 0, -33, 0, 0, -1, -34
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Threading.Channels.8.0.0\buildTransitive\net461\System.Threading.Channels.targets", "XML", 0, 0, 0, -6, 0, 0, -1, -7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Threading.Channels.8.0.0\buildTransitive\netcoreapp2.0\System.Threading.Channels.targets", "XML", 0, 0, 0, -6, 0, 0, -1, -7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Threading.Channels.8.0.0\lib\netstandard2.1\System.Threading.Channels.xml", "XML", 0, 0, 0, -243, 0, 0, 0, -243
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenAnimation.cs", "C#", 0, 0, 0, 0, -677, -167, -74, -918
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenDeAudio.cs", "C#", 0, 0, 0, 0, -2, -5, -3, -10
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenDeUnityExtended.cs", "C#", 0, 0, 0, 0, -2, -5, -3, -10
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenPro.Scripts.asmdef", "JSON", -6, 0, 0, 0, 0, 0, -1, -7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenProShortcuts.cs", "C#", 0, 0, 0, 0, -55, -21, -15, -91
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenTextMeshPro.cs", "C#", 0, 0, 0, 0, -674, -279, -85, -1038
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenTk2d.cs", "C#", 0, 0, 0, 0, -160, -70, -18, -248
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenAnimationInspector.cs", "C#", 0, 0, 0, 0, -684, -25, -56, -765
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenPreviewManager.cs", "C#", 0, 0, 0, 0, -218, -17, -31, -266
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenPro.EditorScripts.asmdef", "JSON", -11, 0, 0, 0, 0, 0, -1, -12
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTween.Modules.asmdef", "JSON", -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs", "C#", 0, 0, 0, 0, -94, -80, -25, -199
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleEPOOutline.cs", "C#", 0, 0, 0, 0, -109, -18, -20, -147
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics.cs", "C#", 0, 0, 0, 0, -137, -60, -20, -217
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics2D.cs", "C#", 0, 0, 0, 0, -125, -51, -18, -194
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleSprite.cs", "C#", 0, 0, 0, 0, -63, -17, -14, -94
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUI.cs", "C#", 0, 0, 0, 0, -390, -203, -70, -663
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs", "C#", 0, 0, 0, 0, -254, -99, -37, -390
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUtils.cs", "C#", 0, 0, 0, 0, -123, -27, -18, -168
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DemiLib\Core\DemiLib.xml", "XML", 0, 0, 0, -230, 0, 0, -2, -232
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DemiLib\Core\Editor\DemiEditor.xml", "XML", 0, 0, 0, -2405, 0, 0, -1, -2406
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Shaders\UISolidColorShader.shader", "UnityShader", 0, -48, 0, 0, 0, 0, -8, -56
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "UnityShader", 0, -130, 0, 0, 0, -18, -31, -179
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, -113, 0, 0, 0, -2, -31, -146
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 0, -123, 0, 0, 0, -3, -30, -156
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 0, -113, 0, 0, 0, -2, -31, -146
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, -253, 0, 0, 0, -4, -70, -327
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, -253, 0, 0, 0, -4, -65, -322
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, -198, 0, 0, 0, -10, -51, -259
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, -193, 0, 0, 0, -8, -52, -253
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 0, -82, 0, 0, 0, -4, -21, -107
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "UnityShader", 0, -290, 0, 0, 0, -15, -85, -390
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 0, -192, 0, 0, 0, -8, -51, -251
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, -104, 0, 0, 0, -8, -28, -140
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 0, -123, 0, 0, 0, -4, -33, -160
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 0, -253, 0, 0, 0, -4, -70, -327
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 0, -111, 0, 0, 0, 0, -21, -132
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 0, -63, 0, 0, 0, -2, -20, -85
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 0, -129, 0, 0, 0, -2, -35, -166
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 0, -62, 0, 0, 0, -6, -13, -81
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 0, -75, 0, 0, 0, -7, -18, -100
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", -155, 0, 0, 0, 0, 0, -2, -157
"Total", "-", -175, -2948, -88, -6291, -3767, -1256, -1359, -15884
