"filename", "language", "UnityShader", "JSON", "C#", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Threading.Channels.8.0.0\buildTransitive\netcoreapp2.0\System.Threading.Channels.targets", "XML", 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Packages\System.Threading.Channels.8.0.0\lib\netstandard2.1\System.Threading.Channels.xml", "XML", 0, 0, 0, 0, 243, 0, 0, 243
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenAnimation.cs", "C#", 0, 0, 677, 0, 0, 167, 74, 918
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenDeAudio.cs", "C#", 0, 0, 2, 0, 0, 5, 3, 10
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenDeUnityExtended.cs", "C#", 0, 0, 2, 0, 0, 5, 3, 10
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenPro.Scripts.asmdef", "JSON", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenProShortcuts.cs", "C#", 0, 0, 55, 0, 0, 21, 15, 91
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenTextMeshPro.cs", "C#", 0, 0, 674, 0, 0, 279, 85, 1038
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\DOTweenTk2d.cs", "C#", 0, 0, 160, 0, 0, 70, 18, 248
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenAnimationInspector.cs", "C#", 0, 0, 684, 0, 0, 25, 56, 765
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenPreviewManager.cs", "C#", 0, 0, 218, 0, 0, 17, 31, 266
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenPro.EditorScripts.asmdef", "JSON", 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTween.Modules.asmdef", "JSON", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs", "C#", 0, 0, 94, 0, 0, 80, 25, 199
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleEPOOutline.cs", "C#", 0, 0, 109, 0, 0, 18, 20, 147
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics.cs", "C#", 0, 0, 137, 0, 0, 60, 20, 217
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics2D.cs", "C#", 0, 0, 125, 0, 0, 51, 18, 194
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleSprite.cs", "C#", 0, 0, 63, 0, 0, 17, 14, 94
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUI.cs", "C#", 0, 0, 390, 0, 0, 203, 70, 663
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs", "C#", 0, 0, 254, 0, 0, 99, 37, 390
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUtils.cs", "C#", 0, 0, 123, 0, 0, 27, 18, 168
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DemiLib\Core\DemiLib.xml", "XML", 0, 0, 0, 0, 230, 0, 2, 232
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Plugins\Demigiant\DemiLib\Core\Editor\DemiEditor.xml", "XML", 0, 0, 0, 0, 2405, 0, 1, 2406
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\Command.cs", "C#", 0, 0, 4, 0, 0, 0, -1, 3
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardPlayerPanel\BoardPlayersPanelPresenter.cs", "C#", 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardPlayerPanel\BoardPlayersPanelView.cs", "C#", 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardPlayerPanel\BoardPlayersPanelViewModel.cs", "C#", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Shaders\UISolidColorShader.shader", "UnityShader", 48, 0, 0, 0, 0, 0, 8, 56
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "UnityShader", 130, 0, 0, 0, 0, 18, 31, 179
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 113, 0, 0, 0, 0, 2, 31, 146
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 123, 0, 0, 0, 0, 3, 30, 156
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 113, 0, 0, 0, 0, 2, 31, 146
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 253, 0, 0, 0, 0, 4, 70, 327
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 253, 0, 0, 0, 0, 4, 65, 322
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 198, 0, 0, 0, 0, 10, 51, 259
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 193, 0, 0, 0, 0, 8, 52, 253
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 82, 0, 0, 0, 0, 4, 21, 107
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "UnityShader", 290, 0, 0, 0, 0, 15, 85, 390
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 192, 0, 0, 0, 0, 8, 51, 251
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 104, 0, 0, 0, 0, 8, 28, 140
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 123, 0, 0, 0, 0, 4, 33, 160
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 253, 0, 0, 0, 0, 4, 70, 327
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 111, 0, 0, 0, 0, 0, 21, 132
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 63, 0, 0, 0, 0, 2, 20, 85
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 129, 0, 0, 0, 0, 2, 35, 166
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 62, 0, 0, 0, 0, 6, 13, 81
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 75, 0, 0, 0, 0, 7, 18, 100
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 155, 0, 0, 0, 0, 2, 157
"Total", "-", 2948, 175, 3824, 88, 6291, 1256, 1362, 15944
